id,kostat_category_5_code,kostat_category_5_name,pdeck_category_2_code,pdeck_category_2_name
2204,75919,기타 사무 지원 서비스업,0599,기타
2205,75991,콜센터 및 텔레마케팅 서비스업,0199,기타
2206,75992,전시컨벤션 및 행사 대행업,0805,공연/전시/음악
2207,75993,신용 조사 및 추심 대행업,0599,기타
2208,75994,포장 및 충전업,0405,물류 소프트웨어 및 공급망 관리
2209,75999,그 외 기타 분류 안된 사업 지원 서비스업,0599,기타
2210,76110,자동차 임대업,0404,차량 공유 및 렌탈
2211,76190,기타 운송장비 임대업,0401,운송서비스
2212,76210,스포츠 및 레크리에이션 용품 임대업,0899,기타
2213,76220,음반 및 비디오물 임대업,0702,도소매업
2214,76291,서적 임대업,0702,도소매업
2215,76292,의류 임대업,0702,도소매업
2216,76299,그 외 기타 개인 및 가정용품 임대업,0702,도소매업
2217,76310,건설 및 토목공사용 기계ㆍ장비 임대업,9903,부동산 임대
2218,76320,컴퓨터 및 사무용 기계ㆍ장비 임대업,0799,기타
2219,76390,기타 산업용 기계 및 장비 임대업,0303,산업 장비
2220,76400,무형 재산권 임대업,9905,법률/법무/행정
2221,84111,입법기관,9905,법률/법무/행정
2222,84112,중앙 최고 집행기관,9905,법률/법무/행정
2223,84113,지방행정 집행기관,9905,법률/법무/행정
2224,84114,재정 및 경제정책 행정,9905,법률/법무/행정
2225,84119,기타 일반 공공 행정,9905,법률/법무/행정
2226,84120,정부기관 일반 보조 행정,9905,법률/법무/행정
2227,84211,교육 행정,9905,법률/법무/행정
2228,84212,문화 및 관광 행정,9905,법률/법무/행정
2229,84213,환경 행정,9905,법률/법무/행정
2230,84214,보건 및 복지 행정,9905,법률/법무/행정
2231,84219,기타 사회서비스 관리 행정,9905,법률/법무/행정
2232,84221,노동 행정,9905,법률/법무/행정
2233,84222,농림수산 행정,9905,법률/법무/행정
2234,84223,건설 및 운송 행정,9905,법률/법무/행정
2235,84224,우편 및 통신 행정,9905,법률/법무/행정
2236,84229,기타 산업 진흥 행정,9905,법률/법무/행정
2237,84310,외무 행정,9905,법률/법무/행정
2238,84320,국방 행정,9905,법률/법무/행정
2239,84401,법원,9905,법률/법무/행정
2240,84402,검찰,9905,법률/법무/행정
2241,84403,교도기관,9905,법률/법무/행정
2242,84404,경찰,9905,법률/법무/행정
2243,84405,소방서,9905,법률/법무/행정
2244,84409,기타 사법 및 공공 질서 행정,9905,법률/법무/행정
2245,84500,사회보장 행정,9905,법률/법무/행정
2246,85110,유아 교육기관,0706,교육/에드테크
2247,85120,초등학교,0706,교육/에드테크
2248,85211,중학교,0706,교육/에드테크
2249,85212,일반 고등학교,0706,교육/에드테크
2250,85221,상업 및 정보산업 특성화 고등학교,0706,교육/에드테크
2251,85222,공업 특성화 고등학교,0706,교육/에드테크
2252,85229,기타 특성화 고등학교,0706,교육/에드테크
2253,85301,전문대학,0706,교육/에드테크
2254,85302,대학교,0706,교육/에드테크
2255,85303,대학원,0706,교육/에드테크
2256,85410,특수학교,0706,교육/에드테크
2257,85420,외국인학교,0706,교육/에드테크
2258,85430,대안학교,0706,교육/에드테크
2259,85501,일반 교과학원,0706,교육/에드테크
2260,85502,방문 교육학원,0706,교육/에드테크
2261,85503,온라인 교육학원,0706,교육/에드테크
2262,85611,태권도 및 무술 교육기관,0706,교육/에드테크
2263,85612,기타 스포츠 교육기관,0706,교육/에드테크
2264,85613,레크리에이션 교육기관,0706,교육/에드테크
2265,85614,청소년 수련시설 운영업,0706,교육/에드테크
2266,85621,음악학원,0706,교육/에드테크
2267,85622,미술학원,0706,교육/에드테크
2268,85629,기타 예술학원,0706,교육/에드테크
2269,85631,외국어학원,0706,교육/에드테크
2270,85632,기타 교습학원,0706,교육/에드테크
2271,85640,사회교육시설,0706,교육/에드테크
2272,85650,직원 훈련기관,0706,교육/에드테크
2273,85661,운전학원,0706,교육/에드테크
2274,85669,기타 기술 및 직업 훈련학원,0706,교육/에드테크
2275,85691,컴퓨터 학원,0706,교육/에드테크
2276,85699,그 외 기타 분류 안된 교육기관,0706,교육/에드테크
2277,85701,교육관련 자문 및 평가업,0706,교육/에드테크
2278,85709,기타 교육지원 서비스업,0706,교육/에드테크
2279,86101,종합병원,0905,의료 서비스
2280,86102,일반병원,0905,의료 서비스
2281,86103,치과병원,0905,의료 서비스
2282,86104,한방병원,0905,의료 서비스
2283,86105,요양병원,0906,시니어 케어/요양/재활
2284,86201,일반의원,0905,의료 서비스
2285,86202,치과의원,0905,의료 서비스
2286,86203,한의원,0905,의료 서비스
2287,86204,방사선 진단 및 병리 검사 의원,0905,의료 서비스
2288,86300,공중 보건 의료업,0905,의료 서비스
2289,86901,앰뷸런스 서비스업,0905,의료 서비스
2290,86902,유사 의료업,0905,의료 서비스
2291,86909,그 외 기타 보건업,0905,의료 서비스
2292,87111,노인 요양 복지시설 운영업,0906,시니어 케어/요양/재활
2293,87112,노인 양로 복지시설 운영업,0906,시니어 케어/요양/재활
2294,87121,신체 부자유자 거주 복지시설 운영업,0906,시니어 케어/요양/재활
2295,87122,정신 질환정신 지체 및 약물 중독자 거주 복지시설 운영업,0906,시니어 케어/요양/재활
2296,87131,아동 및 부녀자 거주 복지시설 운영업,0906,시니어 케어/요양/재활
2297,87139,그 외 기타 거주 복지시설 운영업,0906,시니어 케어/요양/재활
2298,87210,보육시설 운영업,0906,시니어 케어/요양/재활
2299,87291,직업 재활원 운영업,0906,시니어 케어/요양/재활
2300,87292,종합복지관 운영업,0906,시니어 케어/요양/재활
2301,87293,방문 복지서비스 제공업,0906,시니어 케어/요양/재활
2302,87294,사회복지 상담 서비스 제공업,0905,의료 서비스
2303,87299,그 외 기타 비거주 복지 서비스업,0905,의료 서비스
2304,90110,공연시설 운영업,0805,공연/전시/음악
2305,90121,연극단체,0805,공연/전시/음악
2306,90122,무용 및 음악단체,0805,공연/전시/음악
2307,90123,기타 공연단체,0805,공연/전시/음악
2308,90131,공연 예술가,0805,공연/전시/음악
2309,90132,비공연 예술가,0805,공연/전시/음악
2310,90191,공연 기획업,0805,공연/전시/음악
2311,90192,공연 및 제작관련 대리업,0805,공연/전시/음악
2312,90199,그 외 기타 창작 및 예술관련 서비스업,0805,공연/전시/음악
2313,90211,도서관 및 기록 보존소 운영업,0899,기타
2314,90212,독서실 운영업,0799,기타
2315,90221,박물관 운영업,0805,공연/전시/음악
2316,90222,사적지 관리 운영업,0899,기타
2317,90231,식물원 및 동물원 운영업,0899,기타
2318,90232,자연공원 운영업,0899,기타
2319,90290,기타 유사 여가관련 서비스업,0899,기타
2320,91111,실내 경기장 운영업,0804,"여행, 여가/ 스포츠"
2321,91112,실외 경기장 운영업,0804,"여행, 여가/ 스포츠"
2322,91113,경주장 및 동물 경기장 운영업,0804,"여행, 여가/ 스포츠"
2323,91121,골프장 운영업,0804,"여행, 여가/ 스포츠"
2324,91122,스키장 운영업,0804,"여행, 여가/ 스포츠"
2325,91131,종합 스포츠시설 운영업,0804,"여행, 여가/ 스포츠"
2326,91132,체력 단련시설 운영업,0804,"여행, 여가/ 스포츠"
2327,91133,수영장 운영업,0804,"여행, 여가/ 스포츠"
2328,91134,볼링장 운영업,0804,"여행, 여가/ 스포츠"
2329,91135,당구장 운영업,0804,"여행, 여가/ 스포츠"
2330,91136,골프 연습장 운영업,0804,"여행, 여가/ 스포츠"
2331,91139,그 외 기타 스포츠시설 운영업,0804,"여행, 여가/ 스포츠"
2332,91191,스포츠 클럽 운영업,0804,"여행, 여가/ 스포츠"
2333,91199,그 외 기타 스포츠 서비스업,0804,"여행, 여가/ 스포츠"
2334,91210,유원지 및 테마파크 운영업,0804,"여행, 여가/ 스포츠"
2335,91221,전자 게임장 운영업,0801,게임
2336,91222,컴퓨터 게임방 운영업,0801,게임
2337,91223,노래 연습장 운영업,0899,기타
2338,91229,기타 오락장 운영업,0899,기타
2339,91231,낚시장 운영업,0804,"여행, 여가/ 스포츠"
2340,91239,기타 수상오락 서비스업,0804,"여행, 여가/ 스포츠"
2341,91241,복권 발행 및 판매업,0899,기타
2342,91249,기타 사행시설 관리 및 운영업,0899,기타
2343,91291,무도장 운영업,0899,기타
2344,91292,체육 공원 및 유사 공원 운영업,0804,"여행, 여가/ 스포츠"
2345,91293,기원 운영업,0899,기타
2346,91299,그 외 기타 분류 안된 오락관련 서비스업,0899,기타
2347,94110,산업 단체,9906,재단/단체/협회
2348,94120,전문가 단체,9906,재단/단체/협회
2349,94200,노동조합,9906,재단/단체/협회
2350,94911,불교 단체,9906,재단/단체/협회
2351,94912,기독교 단체,9906,재단/단체/협회
